no,tender_no,Decision Reference,description,vendor,award_date,value,department,group
97,SCMB 28/10/14,SCMB 28/10/14,Request for Deviation and condonation: Creative Writing Services: RFQ R031300863,"Debbie Hathway t/a Hathaway Enterprises, Ultra Afrikom Strategic Communications, Chantal Smuts t/a The Creative Store and Greig Steward Communication ",2014/10/13,24561.81,Office of the City Manager - Communication and Branding,Office of City Manager
203,091C/2013/14,SCMB 50/12/14,Provision of Professional Services: Writing,"Debbie hathway , Frieda Elizabeth Le Rous, The Creative Store CC , Greig Stewart t/a Greig Stewart Communications, Phillip Crowson, Holtzhausen Wallis Brown (HWB) Communications (Pty) Ltd t/a HWB Communications , Spot Custom Communications, Bobby Brown Solutions, Ez Trade 476 CC t/a Chatroom Media and Design , Ultra Afrikom CC t/a Afrikom Strategic Communications",2014/12/08,734000,Office of the City Manager - Communication and Branding,Office of City Manager
35,SCMB 72/08/14,SCMB 72/08/14,Graphic Design Services,"Natheefah Maroof, Igama Media cc t/a The Media Chilli, Matobako Isaiah Motsoahole, K Fourie t/a Kreativ Fuse, Aidan Gilman t/a Aidan Gilman Designs, Bright Idea Projects t/a KJ Davids Design Studio, Dumile Media Consultans cc t/a Dumile Media Consultancy, MOB Media CC, Evergreen Design Services CC, TD dIENER",2014/08/25,1100000,Office of the City Manager - Communication and Branding,Office of City Manager
101,210G/2013/14,SCMB 38/10/14,Supply and Delivery of Branded Corporate Merchandise,"N.G Burnell t/a Timika Promotions
Active Marketing Procurement Specialist CC t/a Activate Marketing",2014/10/20,2900000,Office of the City Manager - Communication and Branding,Office of City Manager
4,290S/2013/14,SCMB 13/08/14,Provision of Professional Services: Media Capacitation and Support Services ,Ultra Afrikom CC t/a Afrikom Strategic Communications,2014/08/04,3600000,Office of the City Manager - Communication and Branding,Office of City Manager
95,324S/2013/14,SCMB 26/10/14,Provision of Professional Services: Printing of Staff Newsletter,Mailtronic Direct Marketing CC,2014/10/13,3800000,Office of the City Manager - Communication and Branding,Office of City Manager
36,SCMB 65/07/14,SCMB 65/07/14,"REQUEST FOR DEVIATION AND/OR CONDONATION : LICENCING, MAINTENANCE AND SOFTWARE UPGRADES FOR THE ESS SYSTEM",Sysman Vunumphelo (Pty) Ltd,2014/07/28,1520030.41,Safety & Security,Safety & Security
29,121S/2013/14 ,SCMB 57/07/14,"SUPPLY, INSTALLATION AND COMMISSIONING OF URBAN CCTV CAMERAS AND EQUIPMENT","EOH Security & Building Technologies (Pty) Ltd, Caddic Security Systems & Integration (Pty) Ltd",2014/07/28,5600000,Safety & Security,Safety & Security
155,SCMB 58/11/14,SCMB 58/11/14,Additional repairs to Bronto Skylift on an existing fire fighting vehicle,Fire Raiders (Pty) Ltd,2014/11/17,169821.24,Safety & Security - Emergency Services,Safety & Security
85,300G/2013/14,SCMB/08/10/14,Supply and delivery of various uniforms for the Fire & Rescue Services,"African Compass Trading 288 CC t/a Innovative Networking
FG Uniforms C
Stevenridge CC
Blackbird Trading 480 CC
Invuyani Safety CC",2014/10/06,8000000,Safety & Security - Emergency Services,Safety & Security
204,007G/2014/15,SCMB 51/12/14,Supply and delivery of various Fire and Rescue vehicles,Truck City (Pty) Ltd,2014/12/08,9000000,Safety & Security - Emergency Services,Safety & Security
120,SCMB 67/10/14,SCMB 67/10/14,Repairs and Maintenance of Integrated Spatially enabled response Management Systems (ISERMS),Aurecon South Africa ,2014/10/27,1050000,Safety & Security - Metro Police,Safety & Security
68,504G/2012/13,SCMB/68/09/14,Provision of fleet tracking services: Extended Warranty Services,Ramm Technologies (Pty) Ltd,2014/09/22,5524992,Safety & Security - Metro Police,Safety & Security
133,291S/2011/12,SCMB 18/11/14,Service Provider for Traffic Contravention Services,"Syntell (Pty) Ltd
P O Box 30298
Tokai
7966",2014/11/03,159961250,Safety & Security - Traffic Services,Safety & Security
45,226Q/2013/14,SCMB/21/09/14,"Alterations And Additions To Existing Golden Gate Early Childhood Development (ECD) Centre, Netreg",Icapa Builders CC ,2014/09/08,4209478.86,"Social Development & ECD - Programme Development & Implementation, SEC",Social Development
27,297Q/2013/14,SCMB 55/07/14,"CAPE TOWN STADIUM : ALTERATIONS AND ADDITIONS TO EXISTING INFRASTRUCTURE WHICH INCLUDES ESS GENERATOR EXHAUST SYSTEM, CONSTRUCTION OF WASTE ROOM AND COMPLETION OF CHANGE ROOMS",Ruwacon (Pty) Ltd,2014/07/28,4991408.47,"Tourism, Events & Marketing","Tourism, Events & Marketing"
51,SCMB/37/09/14,SCMB/37/09/14,Request for Single Source Selection: Implementation of the business Management Model and the Commercialisation of the Cape Town Stadium and other areas on erf 1056,International Risk Mitigation Consultants (Pty) Ltd,2014/09/15,1000000,"Tourism, Events, Marketing - CT Stadium","Tourism, Events & Marketing"
72,042C/2014/15,SCMB/79/09/14,Provision of Professional services provider for Implementation and Outcome Evaluation of the City of Cape Town's World Design Capital Initiatives,Urban-Econ Development Ecnomists (Pty) Ltd,2014/09/29,330000,"Tourism, Events, Marketing - Destination Marketing","Tourism, Events & Marketing"
41,301S/2013/14,SCMB/11/09/14,"Request For Deviation And/Or Condonation: Quotation W051500083: 14th World Summit For Nobel Peace Laureates: 11–16 October 2014, Summit Coordination And Delegates Registration And Liaison Coordination, Closing Gala Dinner With Concert: 15 October 2014",John Knight Catering CC t/a Knights Catering & Events,2014/09/01,4199037.5,"Tourism, Events, Marketing - Events","Tourism, Events & Marketing"
44,SCMB 14/09/14,SCMB 14/09/14,"Request To Contract With An Organ Of State: Procurement Of Various Goods And Services From The Cape Town International Convention Centre Required To Support World Peace Summit For Nobel Peace Laureates, 10 – 19 October 2014",Cape Town International Convention Centre (Convenco),2014/09/01,4489490.92,"Tourism, Events, Marketing - Events","Tourism, Events & Marketing"
146,SCMB 45/11/14,SCMB 45/11/14,Request to contract with an organ of state: Appointment of provincial government Wetsern Cape; Health for emergency medical services.,Provincial Government of  Western Cape: Department of Health,2014/11/17,1770000,"Tourism, Events, Marketing - Strategic Assets","Tourism, Events & Marketing"
149,079Q/2014/15,SCMB 48/11/14,"Cape Town Stadium: Alterations and Additions including a change-over system, dust filtration and roof access hatch power supply",Elex Umbane (Pty) Ltd t/a Elex Khanyisa,2014/11/17,1775723.46,"Tourism, Events, Marketing - Strategic Assets","Tourism, Events & Marketing"
147,073G/2014/15,SCMB 46/11/14,"Supply, Delivery and Installation of Electronic Advertising Boards",Stella Vista South Africa (Pty) Ltd,2014/11/17,3484000,"Tourism, Events, Marketing - Strategic Assets","Tourism, Events & Marketing"
152,082S/2014/15,SCMB 53/11/14,Replacement of Servers & HMI/BMS Upgrades,Dimensions Data (Pty) Ltd ,2014/11/17,4400000,"Tourism, Events, Marketing - Strategic Assets","Tourism, Events & Marketing"
128,301S/2013/14,SCMB 13/11/14,Event Co-Ordination: Festival of Lights Switch-On: 07 December 2014,ZA Fanzone CC,2014/11/03,2950000,"Tourism, Events, Marketing - Tourism","Tourism, Events & Marketing"
21,301S/2013/14,SCMB 47/08/14,Panel of Event Coordinator Service Providers for Event Coordination of Corporate Events for the City of Cape Town,"Magnum Events International (Pty) Ltd, Inkanyezi Marketing Communications & Promotions CC, Celebrity Services Africa Events (Pty) Ltd, Events Social Marketing & Productions Afrika (Pty) Ltd t/a Espafrika, VWV Group (Pty) Ltd, ZAF anzone CC, Rock Cily Foundation (Pty) Ltd, Bharooch (Pty) Ltd Va Bharooch, Out the Box Productions (Pty) Ltd t/a Out the Box Productions Tourvest Destination Management A division of Tourvest Holdings (Pty) Ltd Va Event Dynamics, John Knight Catering CC Va Knights Catering & 3 Events, Travel With Flair CPT (Pty) Ltd, Scatterlings of Afrika (Pty) Ltd t/a Scatterlings Conference & Events, Illios Conferences (Pty) Ltd",2014/08/18,3500000,"Tourism, Events, Marketing - Tourism","Tourism, Events & Marketing"
107,SCMB 46/10/14,SCMB 46/10/14,"Request for Deviation: Reconstruction of the De Smidt Steps, Greenpoint - RFQ W080150053",Abantu Civils CC,2014/10/20,556220.5,"Transport, Roads & Stormwater - Roads and Stormwater","Transport, Roads & Stormwater"
38,321Q/2013/14,SCMB/08/09/14,"Construction Of De Villiers Road, Fairtrees Road To De Villiers Road, Durbanville",Cornfield Construction 2004 (Pty) Ltd,2014/09/01,19611429.2,"Transport, Roads & Stormwater - Roads and Stormwater","Transport, Roads & Stormwater"
186,SCMB 33/12/14,SCMB 33/12/14,Appointment of Consultant for supervision of installation and commissioning of the automated fare collection system,Transport Telematics Africa (Pty) Ltd,2014/12/08,5404255.5,Transport for Cape Town - Contract Operations,Transport for Cape Town
49,292Q/2013/14,SCMB/33/09/14,Repairs and resurfacing of portions of Klipfontein Road between Duinefontein Road and Borcherds Quarry Road,TT Innovations (Pty) Ltd,2014/09/15,17855263.16,Transport for Cape Town - Contract Operations,Transport for Cape Town
89,SCMB/12/10/14,SCMB/12/10/14,Provision of Professional Services: Strand Sea wall upgrade and sea defence measures between Greenways and Lourens River Mouth,Mott MacDonald PDNA (Pty) Ltd,2014/10/06,9217445,Transport for Cape Town - Financial Management,Transport for Cape Town
90,100Q/2011/12,SCMB/13/10/14,Lourens River Flood Alleviation Measures- Phase 1E,Nammic Engineering CC,2014/10/06,211607.7,Transport for Cape Town - Infrastructure,Transport for Cape Town
223,SCMB 70/12/14,SCMB 70/12/14,Professional Services: Cape Town Stadium proposed provision of additional suites and related works,Perlemoen and MDA Consortium,2014/12/08,300000,Transport for Cape Town - Infrastructure,Transport for Cape Town
109,181G/2013/14,SCMB 58/10/14, Supply and Delivery of concrete nn-pressure pipes for stormwater drainage,"VW Civil Engineering Supplies CC
Tee Gee Building Supplies CC",2014/10/27,843750,Transport for Cape Town - Infrastructure,Transport for Cape Town
28,312Q/2013/14,SCMB 64/08/14,"Repair of Mike Pienaar foot bridge, Bellville",Abantu Civils ,2014/08/25,1074865,Transport for Cape Town - Infrastructure,Transport for Cape Town
77,SCMB/84/09/14,SCMB/84/09/14,Reconstruction of concrete roads in Hanover Park area 5: Increase in consultants fees,Daveng Consulting Engineers Cc,2014/09/29,2054756.19,Transport for Cape Town - Infrastructure,Transport for Cape Town
145,SCMB 39/11/14,SCMB 39/11/14,"Provision of professional services: Preliminary Design, Detail Design, Tender Documentation and Construction of Prioritised Projects for the City Wide Non-Motorised Transport implementation programme: Central Region",Element Consulting Engineers (Pty) Ltd,2014/11/10,2687383.6,Transport for Cape Town - Infrastructure,Transport for Cape Town
48,291Q/2013/14,SCMB/32/09/14,Construction of non-motorised transport facilities in Bonteheuwel Phase 2,Wezan Building and Civils Construction CC,2014/09/15,13677320.82,Transport for Cape Town - Infrastructure,Transport for Cape Town
76,332Q/2013/14,SCMB/84/09/14,Reconstruction of concrete roads in Hanover Park area 5,Sintsundu Anix JV,2014/09/29,16434891,Transport for Cape Town - Infrastructure,Transport for Cape Town
64,397Q/2012/13,SCMB/64/09/14,IRT: Construction of Public Transport for Phase 1B and N2 Freeway Services,Group Five Construction (Pty) Ltd,2014/09/22,16910000,Transport for Cape Town - Infrastructure,Transport for Cape Town
213,055Q/2014/15,SCMB 62/12/14,Reconstruction of concrete roads in Gugulethu - Area 5.2.1,Kamo Construction (Pty) Ltd ,2014/12/08,31101475.9,Transport for Cape Town - Infrastructure,Transport for Cape Town
182,059G/2012/13,SCMB 32/12/14,Supply and Delivery of Single Sized Crushed Stone,"Afrimat Aggregates Trading (Pty) Ltd
Melvin's Transport CC
Isiqalo Contracting CC",2014/12/08,500000,Transport for Cape Town - Maintenance,Transport for Cape Town
183,060G/2012/13,SCMB 32/12/14,Supply and Delivery of Road Marking Paint,"lDB Paint Consultants CC t/a Creative Coatings, 
Umsowethu Africa Trading & Services (Pty) Ltd
Asorka Trading Suppliers CC t/a Eco Build
Dekro Paints (Pty) Ltd",2014/12/08,1002000,Transport for Cape Town - Maintenance,Transport for Cape Town
163,051Q/2013/14,SCMB 74/11/14,Construction of Okavango Road (Vatican Road to Wellington Road),Martin & East (Pty) Ltd ,2014/11/24,1550000,Transport for Cape Town - Maintenance,Transport for Cape Town
19,308Q/2013/14,SCMB 45/08/14,"Construction of non-motorised transport (NMT) facilities, Hard and soft landscaping in Aden Avenue from Jan Smuts Drive to Lawrence Road in Athlone",Ilizwe Civils (Pty) Ltd,2014/08/18,2155600.7,Transport for Cape Town - Maintenance,Transport for Cape Town
181,010G/2012/13,SCMB 32/12/14,Supply and delivery of Bituminous Products,"NACP Building Projects CC, Hydro Cape Waterproofing/Glencape Resources/Glencape Civils t/a Glenn Allin CC, Carboncor South Africa (Pty) Ltd, More Asphalt (Pty) Ltd and Melvins Transport CC",2014/12/08,3800000,Transport for Cape Town - Maintenance,Transport for Cape Town
29,371G/2010/11,SCMB 65/08/14,Supply of Public Transport Vehicles and Ancillary Services for Integrated Rapid Transit System,Busmark 2000 (Pty) Ltd,2014/08/25,3863000,Transport for Cape Town - Maintenance,Transport for Cape Town
63,186Q/2013/14,SCMB/63/09/14,Repair and resurfacing of five streets in Newlands and Claremont,Civils 2000 (Pty) Ltd,2014/09/22,3997588,Transport for Cape Town - Maintenance,Transport for Cape Town
185,015Q/2012/13,SCMB 32/12/14,Period Tender for the Trench Re-instatement within Road Reserves and Council Property (Central South East and North Regions),"Central Region:
 
JDB Construction JV between J Koopman t/a Century Civils, EDE Civils & Brian Koopman t/a B & J Koopman.
JVR Construction CC
ATN Roadmarking and Civils CC
 
South Region:
 
Smart Approach Civil Construction CC
ROK Civils & Plant Hire CC
Four Stones Civil CC t/a JN Construction
 
East Region:
 
World Focus 226 CC
Triple C Maintenance and Services CC
Gaylee Civil Contractors CC
 
North Region:
 
NDG Construction CC
GVG Building and Civils CC
N Gertse T/A NG Civils
 ",2014/12/08,4090000,Transport for Cape Town - Maintenance,Transport for Cape Town
184,008Q/2012/13,SCMB 32/12/14,"Period Tender for the Provision of Traffic Calming Measures and Footways, City of Cape Town (Regions Central,South,East,North Regions)","Central Region: JDB Construction JV, Carpe Diem Civils CC, N Gertse
South Region: Four Stones, PDR Construction, RG Zabenza Building Construction
 
East Region: Smart Approach Civil Construction CC, Triple C Maintenance and Services CC, JVR Construction CC
 
North Region: NDG Construction CC, World Focus 226 CC, GVG Building and Civils CC. ",2014/12/08,4125000,Transport for Cape Town - Maintenance,Transport for Cape Town
9,090Q/2013/14,SCMB 28/08/14,"Re-alignment of Walter Sisulu Road, Khayelitsha",Coprnfield Construction 2004 (Pty) Ltd,2014/08/11,10278816.86,Transport for Cape Town - Maintenance,Transport for Cape Town
165,072C/2014/15,SCMB 06/12/14,"Term tender for the provision of professional services: Roadworks, Rehabilitation and reseal in the City of Cape Town for three years from the commencement date.","SMEC South Africa (Pty) Ltd for Eastern Region, Knight Piesold Consulting (Pty) Ltd for Northern Region, GIBB (Pty) Ltd for Southern Region, and BVI Consulting Engineers Western Cape (Pty) Ltd for Central Region",2014/12/01,20000000,Transport for Cape Town - Maintenance,Transport for Cape Town
116,SCMB 63/10/14,SCMB 63/10/14,Kerbside parking management system amendment of the scope and terms of the existing interim Kerbside parking contract for the Helderberg region. R030900644,Ace Parking Services (Pty) Ltd,2014/10/27,2000,Transport for Cape Town - Network Management,Transport for Cape Town
196,247S/2010/14,SCMB 43/12/14,Traffic Accommodation Services for Events held at the Cape Town Stadium and other event city wide,Tri-Cor Signs SA (Pty) Ltd,2014/12/08,1000000,Transport for Cape Town - Network Management,Transport for Cape Town
160,143C/2012/13,SCMB 71/11/14,The Appointment of a Professional Service Provider to Monitor the Dial-A-Ride Public Transport Service Contract on Behalf of the City of Cape Town,Transport and Economic Support Services (Pty) Ltd,2014/11/24,390000,Transport for Cape Town - Planning,Transport for Cape Town
108,SCMB 48/10/14,SCMB 48/10/14,Request for Deviation: Transport for Cape Town (TCT) mobile application: MAINTENANCE ,WhereIsMyTransport (Pty) Ltd,2014/10/20,1577760,Transport for Cape Town - Transport for Cape Town,Transport for Cape Town
14,SCMB 36/08/14,SCMB 36/08/14,Request for deviation and/or condonation: Emergency stabilization of road cutting on Boyes Drive: Appointment of Contractor,Fairbrother Geotechnical Engineering CC,2014/08/11,1713500,Transport for Cape Town - Transport for Cape Town,Transport for Cape Town
32,SCMB 68/08/14,SCMB 68/08/14,Traffic Management system maintenance contract,Syntell (Pty) Ltd,2014/08/25,1785084,Transport for Cape Town - Transport for Cape Town,Transport for Cape Town
5,SCMB 14/07/14,SCMB 14/07/14,"REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: PROVISION OF PROFESSIONAL SERVICES : “THE WHALE WAY” : CONSTRUCTION OF SCENIC WALK WAY, GORDON`S BAY",Mastakimu Civil Engineering Services & Environmental Managers CC,2014/07/07,209780,"Transport, Roads & Stoamwater",Transport for Cape Town
9, 296Q/2013/14,SCMB 22/07/14,CAPE TOWN STADIUM : SUPPLY AND INSTALLATION OF MOBILE ELECTRICAL DISTRIBUTION BOARDS,Schmidhauser Electrical Holdings (Pty) Ltd,2014/07/14,1578879.08,"Transport, Roads & Stormwater",Transport for Cape Town
33,426C/2010/11 ,SCMB 62/07/14,REQUEST FOR INCREASE IN CONTRACT SUM : PROVISION OF PROFESSIONAL SERVICES FOR THE REHABILITATION OF SECTIONS OF THE SEA POINT/MOUILLE POINT SEA WALL,Ingerop South Africa (Pty) Ltd,2014/07/28,3491686,"Transport, Roads and Stormwater",Transport for Cape Town
32,SCMB 61/07/14,SCMB 61/07/14,REQUEST FOR SINGLE SOURCE SELECTION : UPGRADING OF STOCK ROAD BETWEEN THE R300 AND LANSDOWNE ROAD,Knight Piesold Consulting Enginners,2014/07/28,4481620,"Transport, Roads and Stormwater",Transport for Cape Town
172,018S/2011/12,SCMB 14/12/14,"Cleaning Services at Block B, Bloemhof Centre, Bellville",Greystone Trading 389 CC t/a Pronto Cleaning),2014/12/01,84000,Utility Services - Electricity Services,Utility Services
212,283C/2013/14,SCMB 61/12/14,Provision of Professional Services; Quality  Assurance of Power Transformers (period tender),Phambili Merz (Pty) Ltd,2014/12/08,240100,Utility Services - Electricity Services,Utility Services
47,SCMB 26/09/14,SCMB 26/09/14,Request For Deviation And/Or Condonation: Emergency Repairs At Charlie Street Substation Following An Incident Of Vandalism,ABB South Africa (Pty) Ltd,2014/09/08,242659.69,Utility Services - Electricity Services,Utility Services
215,050G/2014/15,SCMB 64/12/14,"Supply,Delivery and/or Installation of Statistical Metering",Onlab Specialist Elecro Technology CC,2014/12/08,300000,Utility Services - Electricity Services,Utility Services
88,295S/2013/14,SCMB/11/10/14,Cleaning Services at Steenbras Power Station,"World Focus 404 CC t/a World Focus Security Training and Cleaning Services
",2014/10/06,364467,Utility Services - Electricity Services,Utility Services
27,294G/2013/14,SCMB 63/08/14,The supply and delivery of ring current transformers,Powerrec (Pty) Ltd,2014/08/25,850000,Utility Services - Electricity Services,Utility Services
161,030G/2012/13,SCMB 72/11/14,Supply  and Delivery of Polyethylene Insulated Underground Telephone Cable,Cape Cables (Pty) Ltd,2014/11/24,1000000,Utility Services - Electricity Services,Utility Services
84,265G/2013/14,SCMB/07/10/14,Term Tender: Supply and Delivery of New and Regenerated Transformer Oil,Silver Solutions 435 CC,2014/10/06,1190292,Utility Services - Electricity Services,Utility Services
164,SCMB 75/11/14,SCMB 75/11/14,Term Contract to procure quality of supply recorders,CT Lab (Pty) Ltd ,2014/11/24,1400000,Utility Services - Electricity Services,Utility Services
54,171Q/2012/13,SCMB/44/09/14,Request for Deviation and/or Condonation - Construction of civil works for Du Noon no 2 Sewer Pump Station and Rising Main,Vula Indlela Construction CC ,2014/09/15,2084950,Utility Services - Electricity Services,Utility Services
61,252S/2013/14,SCMB/61/09/14,"Term Tender: Cleaning services at Electricity Services facilities, Ndabeni Depot",Lillian4Zonke (Pty) Ltd ,2014/09/22,2300000,Utility Services - Electricity Services,Utility Services
211,282C/2013/14,SCMB 60/12/14,Period Tender for Provision of Professional Services; Quality  Assurance Inspection of Electrical Cable,Phambili Merz (Pty) Ltd,2014/12/08,3000000,Utility Services - Electricity Services,Utility Services
105,350S/2013/14,SCMB 43/10/14,"Supply, Delivery and/or Rental of Hazardous Waste Containers and Collection, Removal, Transportation and Disposal of Hazardous Waste",Inter-Waste (Pty) Ltd,2014/10/20,4500000,Utility Services - Electricity Services,Utility Services
156,279G/2013/14,SCMB 66/11/14,"Manufacture, Testing, Supply and Delivery and/or Installation of Battery Chargers, Battery Tripping Units. DC Auxillary Supply Units and Battery Cells",Consolidated Power Projects (Pty) Ltd and Met Industrial (Pty) Ltd t/a First National Battery,2014/11/24,5000000,Utility Services - Electricity Services,Utility Services
138,421Q/2009/10,SCMB 23/11/14,"Period Tender for Manufacture, Testing, Supply and Delivery,and Installation, Testing and Commissioning of 12KV Indoor Switchgear and Ancillary Equipment for New Internal ARC Rated Installations  ","ABB South Africa (Pty) Ltd
 ",2014/11/03,6500000,Utility Services - Electricity Services,Utility Services
92,318G/2013/14,SCMB 23/10/14,Supply and Delivery of Electrical Training Panels,Black Arc Electrical CC,2014/10/13,6700000,Utility Services - Electricity Services,Utility Services
129,319S/2013/14,SCMB 14/11/14,Repairs and Maintenance Services for Steenbras Power Station 12 kV Generators,"Marthinusen & Coutts, Cleveland - a Division of Actom (Pty) Ltd ",2014/11/03,7000000,Utility Services - Electricity Services,Utility Services
7,179G/2013/14,SCMB 26/08/14,"Manufacture, Testing , supply, delivery and off-loading of insulated hard-drawn copper overhead cable, hard-drawn copper overhead conductor and anti-theft earthing conductor",F Luke t/a SupremeElectrical Supplies,2014/08/11,9000000,Utility Services - Electricity Services,Utility Services
62,348S/2013/14,SCMB/62/09/14,"Design, manufacture, supply, installation, removal and maintenance of festive lighting for the City of Cape Town ",JT Maritz Electrical CC t/a Maritz Electrical ,2014/09/22,9000000,Utility Services - Electricity Services,Utility Services
137,422Q/2009/10,SCMB 22/11/14,"Period Tender for Manufacture, Testing, Supply and Delivery,and Installation, Testing and Commissioning of 12KV Indoor Switchgear and Ancillary Equipment for Extension of Existing Type LMx  Installations                    ","Consolidated Power Projects (Pty) Ltd t/a Consolidated Power Projects
 ",2014/11/03,9000000,Utility Services - Electricity Services,Utility Services
139,057G/2011/12,SCMB 24/11/14,"Manufacture, testing, supply and delivery of Distribution Transformers, Pole Mounted Transformers and Miniature Substations","Electro Inductive Industries (Pty) Ltd
Powertech Transformers (Pty) Ltd 
 ",2014/11/03,9899396.74,Utility Services - Electricity Services,Utility Services
110,317G/2013/14,SCMB 59/10/14,"Supply, Delivery of Electrical Arc Flash Secondary Protective Clothing for all Personnel Working on the LV, MV and HV Electrical Networks",At Work Health and Safety CC,2014/10/27,10000000,Utility Services - Electricity Services,Utility Services
59,113C/2013/14,SCMB/58/09/14,Provision of professional services in respect of the Steenbras pumped storage main plant refurbishment.,Aurecon South Africa (Pty) Ltd,2014/09/22,27169450,Utility Services - Electricity Services,Utility Services
5,274C/2012/13,SCMB 15/08/14,Provision of Basic Assessment and Waste Management Licencing for closure of the Waterkloof Lanfill site,PD Naidoo and Associates,2014/08/04,100000,Utility Services - Solid Waste Services,Utility Services
12,SCMB 32/08/14,SCMB 32/08/14,Request for increase in contract sum: snake handling training course,MixMed Sales and Marketing CC,2014/08/11,217826.08,Utility Services - Solid Waste Services,Utility Services
30,032C/2008/09,SCMB 66/08/14,"Provision of Professional Services: Vissershok Leachate Treatment Works Extension: Civil, Mechanical & Electrical Engineering Design & Implementation",Jeffares and Green (Pty) Ltd,2014/08/25,600000,Utility Services - Solid Waste Services,Utility Services
36,SCMB 06/09/14,SCMB 06/09/14,Request to Contract With an Organ of State: Ground Water Quality Assessment and Monitoring For the Atlantis Historic Landfill Site,Council for Scientific & Industrial Research,2014/09/01,875000,Utility Services - Solid Waste Services,Utility Services
25,166C/2013/14,SCMB 61/08/14,Provision of Professional Services to conduct Topographical Surveys and Airspace Monitoring Service at Solid Waste Landfill Sites,Joubert & Brink Surveyors CC,2014/08/25,1265000,Utility Services - Solid Waste Services,Utility Services
79,304S/2013/14,SCMB/88/09/14,"Supply,Delivery and Installation, Moving and Repair of used Marine Shipping Containers.",Masisebenze Water Systems (Pty)Ltd,2014/09/29,2000000,Utility Services - Solid Waste Services,Utility Services
69,SCMB/70/09/14,SCMB/70/09/14,Replacement and additional weighbridges at the Coastal Park and Vissershok Landfill Sites,Massamatic (Pty) Ltd,2014/09/22,2412258.9,Utility Services - Solid Waste Services,Utility Services
10,154S/2013/14,SCMB 29/08/14,"Hiring of Transport Services for Staff of Collection and Drop Off Facilities Branch of Solid Waste Management within Atlantic, Tierberg, Impuma and Two Oceans Area                  ",KE Daniels (Pty) Ltd t/a Premier Car & Bakkie Rental,2014/08/11,3000000,Utility Services - Solid Waste Services,Utility Services
83,SCMB/94/09/14,SCMB/94/09/14,Transport of containerised waste by rail between Athlone refuse transfer station and Vissershok Landfill Site by Transnet SOC Ltd: Transnet Freight Rail,Transnet SOC Ltd t/a Transnet Freight Rail,2014/09/29,4164381.59,Utility Services - Solid Waste Services,Utility Services
174,561S/2009/10,SCMB 16/12/14,Request for Increase in Contract Period: Tender no. 561S/2009/10 and 562S/2009/10: Provision of Heavy Duty Mechanical Sweepers: Ad Hoc and Fixe Term Basis.,Wasteman Holdings (Pty) Ltd,2014/12/01,8000000,Utility Services - Solid Waste Services,Utility Services
176,304S/2013/14,SCMB 18/12/14,"Supply,Delivery and Installation, Moving and Repair of used Marine Shipping Containers.",     ,2014/12/01,8000000,Utility Services - Solid Waste Services,Utility Services
93,156S/2013/14,SCMB 24/10/14,Provision of Garden maintenance Services for Solid Waste Management Facilities                  ,Cocopan (Pty) Ltd,2014/10/13,9547500,Utility Services - Solid Waste Services,Utility Services
24,149C/2013/14,SCMB 60/08/14,Professional Services: Design & Construction of Landfill Gas Extraction & Flaring System at Coastal Park Landfill,Ingerop South Africa (Pty) Ltd,2014/08/25,9953350,Utility Services - Solid Waste Services,Utility Services
173,SCMB 15/12/14,SCMB 15/12/14,"Request for Increase In Contract Period: Tender no. 332S,333S, 442S, 443S,444S, 445S,446S,/2009/10 and 341S, 342S, 344S345S/2010/11: Door to Door Refuse Collection and Area Cleaning Services",332S/2009/10- Chipcor Construction;  442S/2009/10- Masiqhame 113 CC 443S/2009/10- Chippa Investment Holdings CC;                                      444S/2009/10 Dynamic Initiatives CC; 445S Masiqhame 113 CC;                    446S/2009/10 ME McGauchey t/a Shamrock Recruiting;                            341S/2010/11 Camel Rock Trading 630 CC                                                     342S/2010/11- Ngokholo Construction and Cleaning and Security CC;                    344S/2010/11 - Linamandla Business Enterprises CC and               345S/2010/11 Lola's Care Giving Agency and Cleaning CC. ,2014/12/01,17752760.3,Utility Services - Solid Waste Services,Utility Services
135,432G/2011/12,SCMB 20/11/14,Area Cleaning: Supply and Delivery of Plastic Refuse Bags,Sakh'ikhaya Suppliers CC,2014/11/03,22000000,Utility Services - Solid Waste Services,Utility Services
178,339C/2013/14,SCMB 27/12/14,"Provision of professional services in respect of the development , maintenance and remediation of the vissershok landfill site.",Jeffares and Green (Pty) Ltd,2014/12/08,29643900,Utility Services - Solid Waste Services,Utility Services
168,346G/2013/14,SCMB 10/12/14,Supply and delivery of various road sweepers.,Trans Manufacturing (Pty) Ltd t/a Transtech and Babor (Pty) Ltd,2014/12/01,38000000,Utility Services - Solid Waste Services,Utility Services
26,271G/2013/14,SCMB 62/08/14,"Supply and Delivery of Mobile Refuse Containers fitted with RFID Tags, RFID tag readers and RFID tags/responders","Mpact Brits Plastics Containers (Pty) Ltd 
",2014/08/25,60000000,Utility Services - Solid Waste Services,Utility Services
43,SCMB 13/09/14,SCMB 13/09/14,Request For Deviation And/Or Condonation: Accelerated Apprenticeship Competency Based Modular Training Programme For Various Trades ,Northlink College,2014/09/01,181400,Utility Services - Utility Services Support,Utility Services
