"Name","Services","Category","Funded/Supported by","Availability of service","Suburb","City","Province","Where are they?","Crisis/Counselling Line","Contact","Telephone","Web contact"
"Family & Marriage Society of South Africa (FAMSA), Stutterheim","Emowering dysfunctional families through counselling & parenting","Marriage / Family Counsellor","N/A","N/A","N/A","Stutterheim","Eastern Cape"," Stutterheim, Eastern Cape.","N/A","Not specified","0436831418.","Contact to: famsastutt@mwebbiz.co.za"
"Family and Marriage Association of SA","Family support through stressful situations","Marriage / Family Counsellor","N/A","N/A","N/A","N/A","N/A","Joe Slovo. ","N/A","Not specified","0119757106/7.","Contact to: national@famsa.org.za  Website: www.famsa.org.za"
"FAMSA (Family and Marriage Society of South Africa) Dunoon","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Dunoon","Cape Town","Western Cape","Kensington. Dunoon, Cape Town, Western Cape.","N/A","Not specified","0215561945.","Not specified"
"FAMSA (Family and Marriage Society of South Africa) Elsiesriver","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Elsiesriver","Cape Town","Western Cape"," Elsiesriver, Cape Town, Western Cape.","N/A","Not specified","0219464744.","Not specified"
"FAMSA (Family and Marriage Society of South Africa) Gugulethu","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Gugulethu","Cape Town","Western Cape"," Gugulethu, Cape Town, Western Cape.","N/A","Not specified","0216376706.","Not specified"
"FAMSA (Family and Marriage Society of South Africa) Joe Slovo Milnerton","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Milnerton","Cape Town","Western Cape"," Milnerton, Cape Town, Western Cape.","N/A","Not specified","0215561945.","Not specified"
"FAMSA (Family and Marriage Society of South Africa) Kensignton Factreton","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Factreton","Cape Town","Western Cape","97 Regent St. Factreton, Cape Town, Western Cape.","N/A","Not specified","0215938074.","Not specified"
"FAMSA (Family and Marriage Society of South Africa) Khayelitsha","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Khayelitsha","Cape Town","Western Cape","299 Freedom Park . Khayelitsha, Cape Town, Western Cape.","N/A","Not specified","0213619098.","Not specified"
"FAMSA (Family and Marriage Society of South Africa) Mitchells Plain","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Mitchells Plain","Cape Town","Western Cape","17 Ehmke Street. Mitchells Plain, Cape Town, Western Cape.","N/A","Not specified","0213720022.","Not specified"
"FAMSA (Family and Marriage Society of South Africa) Observatory","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Observatory","Cape Town","Western Cape"," Observatory, Cape Town, Western Cape.","N/A","Not specified","0214470170.","Not specified"
"Frida Hartley Shelter","Shelter for destitute /homeless women and their children","Homeless /destitute / unemployed","Private sector","N/A","Bellevue","Johannesburg","Gauteng"," Bellevue, Johannesburg, Gauteng.","N/A","Not specified","0116486005.","Not specified"
"Golden Triangle Women's Group","Workshops on domestic violence. Counselling & support groups","Violence/ abuse/ rape","N/A","N/A","Devland Ext 1","Lenasia","Gauteng","Bayview Primary School. Devland Ext 1, Lenasia, Gauteng.","N/A","Not specified","0113425798.","Not specified"
"Greater Nelspruit Rape Intervention Project (GRIP)","Support, counselling, treatment & crisis care for rape survivors","Violence/ abuse/ rape","N/A","N/A","N/A","Nelspruit","Mpumalanga","Century Medical Suites, 4 Park Close, Central Park. Nelspruit, Mpumalanga.","N/A","Not specified","0137524404 / 0137525993.","Contact to: info@grip.org.za	Website: http://www.grip.org.za/"
"Guide to Divorce & Separation in South africa","Family Law Attorneys","Legal advice","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Not specified","021 422 2461.","Contact to: info@divorceattorney.co.za  Website: http://www.divorcelaws.co.za/domestic-violence.html"
"Heaven Shelter House","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Cape Town","Western Cape"," Cape Town, Western Cape.","N/A","Not specified","0213716980.","Contact to: heavenshelterct@gmail.com"
"Helenvale White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","Helenvale","Port Elizabeth","Eastern Cape"," Helenvale, Port Elizabeth, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Henry Meiring","Clinical Psychologist","Depression / Psychology assistance","N/A","N/A","Century City","Cape Town","Western Cape"," Century City, Cape Town, Western Cape.","N/A","Not specified","021250 0207/ 0845557832.","Contact to: hjmeiring@gmail.com"
"House of Hope","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Vredenburg","Western Cape"," Vredenburg, Western Cape.","N/A","Not specified","0227151387.","Contact to: houseofhope@telkomsa.net  Website: http://www.houseofhope.biz"
"House To Your destiny","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Matroosfontein","Western Cape","17 StuRoadee Ave. Matroosfontein, Western Cape.","N/A","Not specified","0219314936.","Contact to: Housetoyourdestiny@gmail.com"
"Ihata Shelter","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Cape Town","Western Cape"," Cape Town, Western Cape.","N/A","Not specified","0216385578.","Contact to: info@irfsa.com"
"Ikaya Lethemba","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","Braamfontein","Johannesburg","Gauteng","707 Natalia Court. Braamfontein, Johannesburg, Gauteng.","N/A","Not specified","0112423000/ 0832867948.","Contact to: nomsa.ramathibela@gauteng.gov.za"
"Ilitha Labantu","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Gugulethu","Western Cape","Blaauwberg Therapy Centre, 103 Blaauwberg Road. Gugulethu, Western Cape.","N/A","Not specified","0216332383.","Contact to: admin@ilithalabantu.org"
"Immaculata Mercy Centre","Shelter","Shelters","Soul Food","N/A","Rosebank","Johannesburg","Gauteng","Lekkerwater Road. Rosebank, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"IRFSA's Ihata Shelter","Shelter for abused women and children","Violence/ abuse/ rape","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Not specified","0216385578.","Contact to: info@irfsa.com  Website: http://www.irfsa.com/"
"Iso Lentuthuko","HIV & rape counselling, home based care, HIV/AIDS education","Violence/ abuse/ rape","N/A","N/A","N/A","Durban","Kwazulu Natal"," Durban, Kwazulu Natal.","N/A","Not specified","0317019456.","Not specified"
"Janet Bytheway","Clinical Psychologist","Depression / Psychology assistance","N/A","N/A","Table View","Cape Town","Western Cape"," Table View, Cape Town, Western Cape.","N/A","Not specified","0215576066/ 0215575027.","Contact to: janet@janetbytheway.co.za    Website: www.janetbytheway.co.za"
"Jones Safe House","Shelter for abused women and children","Violence/ abuse/ rape","N/A","N/A","Kommetjie","Cape Town","Western Cape"," Kommetjie, Cape Town, Western Cape.","N/A","Not specified","0217856710.","Contact to: info@thejonessafehouse.org / ec@thejonessafehouse.org  Website: http://www.thejonessafehouse.org/index.html"
"Kerr House","Hospice for Women","Shelters","N/A","N/A","N/A","Durban","Kwazulu Natal"," Durban, Kwazulu Natal.","N/A","Not specified","0837847770 / 0313032912.","Contact to: kerrhouse@telkomsa.net"
"Kraaifontein Support Group","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Kraaifontein","Cape Town","Western Cape"," Kraaifontein, Cape Town, Western Cape.","N/A","Not specified","0219884869.","Not specified"
"Kuilsriver Support Group","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Kuilsriver","Cape Town","Western Cape"," Kuilsriver, Cape Town, Western Cape.","N/A","Not specified","0219034262.","Not specified"
"L’ Abrie De Dieu Safe House","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Stellenbosch","Western Cape"," Stellenbosch, Western Cape.","N/A","Not specified","0218832574.","Contact to: lee@safehousestellenbosch.co.za  Website: http://www.safehousestellenbosch.co.za"
"Legal Aid Board Athlone","Legal Support & Service","Legal advice","N/A","N/A","Athlone","Cape Town","Western Cape"," Athlone, Cape Town, Western Cape.","N/A","Not specified","0216975252.","Not specified"
"Legal Aid Board Bellville","Legal Support & Service","Legal advice","N/A","N/A","Bellville","Cape Town","Western Cape"," Bellville, Cape Town, Western Cape.","N/A","Not specified","0219493062.","Not specified"
"Legal Aid Board Cape Town","Legal Support & Service","Legal advice","N/A","N/A","N/A","Cape Town","Western Cape","Stellenbosch University. Cape Town, Western Cape.","N/A","Not specified","0214264126.","Not specified"
"Legal Aid Board Cape Town","Legal Support & Service","Legal advice","N/A","N/A","N/A","Cape Town","Western Cape","University of Cape Town. Cape Town, Western Cape.","N/A","Not specified","0214245660.","Not specified"
"Legal Aid Board Mitchells Plain","Legal Support & Service","Legal advice","N/A","N/A","Mitchells Plain","Cape Town","Western Cape","University of Western Cape. Mitchells Plain, Cape Town, Western Cape.","N/A","Not specified","0213704257.","Not specified"
"Legal Aid Board Stellenbosch","Legal Support & Service","Legal advice","N/A","N/A","N/A","Stellenbosch","Western Cape"," Stellenbosch, Western Cape.","N/A","Not specified","0218829221.","Not specified"
"Legal Aid Board Stellenbosch University","Legal Support & Service","Legal advice","N/A","N/A","Stellenbosch University","Stellenbosch","Western Cape"," Stellenbosch University, Stellenbosch, Western Cape.","N/A","Not specified","0218083432.","Not specified"
"Legal Aid Board University of Cape Town Rondebosch","Legal Support & Service","Legal advice","N/A","N/A","Rondebosch","Cape Town","Western Cape"," Rondebosch, Cape Town, Western Cape.","N/A","Not specified","0216503775.","Not specified"
"Legal Aid Board University of Western Cape Bellville","Legal Support & Service","Legal advice","N/A","N/A","Bellville","Cape Town","Western Cape"," Bellville, Cape Town, Western Cape.","N/A","Not specified","0219592756.","Not specified"
"Leratong Place of Love","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","N/A","Springs","Gauteng"," Springs, Gauteng.","N/A","Not specified","0113631368/9/ 0721064983.","Contact to: cewestley@mweb.co.za"
"Lifeline - Cape Town","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Cape Town","Western Cape","37 Santa Fe Crescent, La Paloma. Cape Town, Western Cape.","0861322322","Not specified","0214611111.","Not specified"
"LifeLine / ChildLine Western Cape","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Cape Town","Western Cape"," Cape Town, Western Cape.","0214611113","Not specified","0214611113.","Contact to: info@lifelinewc.org.za  Website: http://lifelinesa.co.za/contact-us/south-africa-lifelinechildline-western-cape/"
"LifeLine Durban","24 hour crisis intervention","Crisis intervention","N/A","24 hours","Stamford Hill","Durban","Kwazulu Natal","35 St Mark’s Road. Stamford Hill, Durban, Kwazulu Natal.","0113122323","Not specified","0313031344.","Contact to: director@lifelinedurban.org.za   Website: http://lifelinesa.co.za/centres-2/south-africa-lifeline-durban/"
"LifeLine Ekurhuleni","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Benoni","Gauteng","Stand 2, Tonga, Kwalugedlane. Benoni, Gauteng.","0114224242","Not specified","0114210384.","Contact to: lifelineoffice@gmail.com/ lifelinecounselling@gmail.com  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-ekurhuleni/"
"LifeLine Free State","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Welkom","Free State"," Welkom, Free State.","0720688159","Not specified","0573572746 / 2225.","Contact to: llfs@telkomsa.net	Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-free-state/"
"LifeLine Garden Route","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Sedgefield","Western Cape"," Sedgefield, Western Cape.","0861322322","Not specified","0443432769.","Contact to: lifeline@vodamail.co.za  Website: http://lifelinesa.co.za/contact-us/outh-africa-lifeline-garden-route/"
"LifeLine Johannesburg","24 hour crisis intervention","Crisis intervention","N/A","24 hours","Norwood","Johannesburg","Gauteng","69 Muller St. Norwood, Johannesburg, Gauteng.","0117281347","Not specified","0117281331.","Contact to: lifeline@lifelinejhb.org.za  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-johannesburg/"
"LifeLine Klerksdorp","24 hour crisis intervention","Crisis intervention","N/A","24 hours","Pienaarsdorp","Klerksdorp","North West"," Pienaarsdorp, Klerksdorp, North West.","0184621234","Not specified","0184627838.","Contact to: llinekld@gds.co.za  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-klerksdorp/"
"LifeLine Mafikeng","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Mafikeng","North West"," Mafikeng, North West.","0183814263","Not specified","0183810976.","Contact to: lloffice@lantic.net  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-mafikeng/"
"LifeLine Nelspruit","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Nelspruit","Mpumalanga"," Nelspruit, Mpumalanga.","0137553606","Not specified","0137552635.","Website:http://lifelinesa.co.za/contact-us/south-africa-lifeline-nelspruit/"
"LifeLine Pretoria","24 hour crisis intervention","Crisis intervention","N/A","24 hours","Val de Grace","Pretoria","Gauteng"," Val de Grace, Pretoria, Gauteng.","0128043619","Not specified","0128041853/ Rape Crisis Line: 0823402061.","Contact to: info@lifelinepta.org.za	Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-pretoria/"
"LifeLine Rape & Crisis Pietermaritzburg","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Pietermaritzburg","Kwazulu Natal","76 St George St. Pietermaritzburg, Kwazulu Natal.","0333944444","Not specified","0333424447.","Contact to: director@lifeonline.co.za  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-rape-and-crisis-pietermaritzburg/"
"LifeLine Rustenburg","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Rustenburg","North West","Mount Frere. Rustenburg, North West.","0861322322","Not specified","0145941455 / 5923158.","Contact to: office@lifelinertb.co.za  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-rustenburg/"
"LifeLine South Africa - Gender violence helpline","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","N/A","N/A","Mhlanganisweni A/A. ","0800150150","Not specified","Not specified","Website:www.lifeline.org.za"
"LifeLine South Africa - National AIDS helpline","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","N/A","N/A","St Nicholas Church, 22 Pell Street. ","0800012322","Not specified","Not specified","Website:aidshelpline.org.za"
"LifeLine South Africa - National counselling line","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","N/A","N/A","Buffalo Flats Primary School, 85 Green Point Road. ","0861322322","Not specified","Not specified","Website:www.lifeline.org.za"
"LifeLine Vaal Triangle","24 hour crisis intervention","Crisis intervention","N/A","24 hours","Duncanville","Vereeniging","Gauteng","NG Church Hall, cnr Beaufort st and Hill st. Duncanville, Vereeniging, Gauteng.","0164281640","Not specified","0164281740.","Contact to: colleen@lifelinevaal.co.za  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-vaal-triangle/"
"LifeLine West Rand","24 hour crisis intervention","Crisis intervention","N/A","24 hours","N/A","Krugersdorp","Gauteng","Island Vibe Language School, 3 Dageraad St. Krugersdorp, Gauteng.","0119534111","Not specified","0116652281.","Contact to: director@lifelinewestrand.co.za  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-west-rand/"
"LifeLine Zululand","24 hour crisis intervention","Crisis intervention","N/A","24 hours","Arboretum","Richards Bay","Kwazulu Natal","Goodwill Centre, Campbell Street. Arboretum, Richards Bay, Kwazulu Natal.","N/A","Not specified","0357892472.","Contact to: llzul@telkomsa.net  Website: http://lifelinesa.co.za/contact-us/south-africa-lifeline-zululand/"
"Living Waters","Safe house for abused women and children","Children / teenager","The Kingdom Coalition","N/A","N/A","East London","Eastern Cape","79 Haworthia Drive. East London, Eastern Cape.","N/A","Not specified","Not specified","Contact to: admin@livingwaters.org.za"
"Llitha Labantu","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Gugulethu","Cape Town","Western Cape","Caritas House (behind Steers & Debonairs), 16 West Street. Gugulethu, Cape Town, Western Cape.","N/A","Not specified","0216332858.","Not specified"
"Mali Martin","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Bronkhorstspruit","Gauteng","St Lukes Anglican Church, StanfoRoad Road and George Botha Road. Bronkhorstspruit, Gauteng.","N/A","Not specified","0139358032.","Contact to: malimartin@penta-net.co.za"
"Margaret Humby","Trauma Counsellor","Depression / Psychology assistance","N/A","N/A","Bluobergstrand","Cape Town","Western Cape","43 Mount Road. Bluobergstrand, Cape Town, Western Cape.","N/A","Not specified","0215540682/ 0839861415.","Contact to: margs@humby.co.za"
"Marie Stopes Clinics","Family planning services","Legal advice","N/A","N/A","N/A","N/A","N/A","Kamesh Road. ","N/A","Not specified","0800117785.","Contact to: info@mariestopes.org.za  Website: www.mariestopes.org.za"
"Masimanyane Women’s Support Centre H/O","Public education, crisis counselling, home-based care, community gardens (Focus on HIV)","HIV / counselling","N/A","N/A","Southernwood","East London","Eastern Cape"," Southernwood, East London, Eastern Cape.","N/A","Not specified","0437439169.","Website:http://www.masimanyane.org.za/"
"Masisukumeni Women’s Crisis Centre","Counselling for the survivors of sexual & domestic violence","Violence/ abuse/ rape","N/A","N/A","N/A","Komatipoort","Mpumalanga"," Komatipoort, Mpumalanga.","N/A","Not specified","0117803078.","Contact to: masisukumeni@worldonline.co.za  Website: www.masisukumeni.org.za"
"Matatiele White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","N/A","Matatiele","Eastern Cape"," Matatiele, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Mater Domini Home","Shelter for pregnant women in crisis","Shelters","Department of Social Development (Western Cape Government)","N/A","N/A","Claremont","Western Cape"," Claremont, Western Cape.","N/A","Not specified","0216716008.","Contact to: home@materdomini.net"
"Meals on Wheels","Meal delivery to elderly and disabled","Food","Soul Food","N/A","Yeoville","Johannesburg","Gauteng"," Yeoville, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Mercy Haven","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Boskburg","Gauteng"," Boskburg, Gauteng.","N/A","Not specified","0118922714/5037/ 0835984387.","Contact to: rose@execmail.co.za / zelda@execmail.co.za  Website:"
"Mercy House","Shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","Capital Park","Pretoria","Gauteng"," Capital Park, Pretoria, Gauteng.","0123295528 (24hrs)","Not specified","0123296682.","Contact to: mail@mercyhouse.co.za / colleenrsm@axxess.co.za  Website:"
"Mitchells Plain Crisis Line","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Mitchells Plain","Cape Town","Western Cape"," Mitchells Plain, Cape Town, Western Cape.","N/A","Not specified","0213922000.","Not specified"
"Mosaic, Training, Service and Healing for Women","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Wynberg","Cape Town","Western Cape"," Wynberg, Cape Town, Western Cape.","N/A","Not specified","0217617585.","Not specified"
"Mother Teresa Mission (Missionaries of Charity)","Shelter for sick families","Shelters","Soul Food","N/A","Bellevue East","Johannesburg","Gauteng"," Bellevue East, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Mount Frere White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","Elubacweni","Mount Frere","Eastern Cape"," Elubacweni, Mount Frere, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Mziwoncedo White Door Centre","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","N/A","Libode","Eastern Cape"," Libode, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Eastern Cape Group: East London","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","Beacon Bay","East London","Eastern Cape"," Beacon Bay, East London, Eastern Cape.","N/A","Athini *Group Meeting Time: Wed 19h00 / Fri 19h00","0723194014.","Not specified"
"Narcotics Ananymous Eastern Cape Group: East London","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","Buffalo Flats","East London","Eastern Cape"," Buffalo Flats, East London, Eastern Cape.","N/A","Fazel *Group Meeting Time: Thu 19h00 / Sun 19h00","0837284185.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Grahamstown","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","Grahamstown","Eastern Cape"," Grahamstown, Eastern Cape.","N/A","Eugene *Group Meeting Time: Thu 19h00","0827847685.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Jeffreys Bay","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","Pellsrus","Jeffresy Bay","Eastern Cape"," Pellsrus, Jeffresy Bay, Eastern Cape.","N/A","Charlene *Group Meeting Time: Thu 19h00","0820643711.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Port Alfred","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","Port Alfred","Eastern Cape"," Port Alfred, Eastern Cape.","N/A","Trish *Group Meeting Time: Wed 19h00","0842306650.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Port Elizabeth","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","Malabar","Port Elizabeth","Eastern Cape"," Malabar, Port Elizabeth, Eastern Cape.","N/A","Fazal / Pinky *Group Meeting Time: Mon 19h30","0720649664 / 0839955681.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Port Elizabeth","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","Newton Park","Port Elizabeth","Eastern Cape","29 Tanga St. Newton Park, Port Elizabeth, Eastern Cape.","N/A","Fazal / Pinky *Group Meeting Time: Tue 18h00 / Wed 18h00 / Thu 19h30 / Fri 19h00","0720649664 / 0839955681.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Port Elizabeth","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","Cleary Park","Port Elizabeth","Eastern Cape"," Cleary Park, Port Elizabeth, Eastern Cape.","N/A","Heinrich / Nataniel *Group Meeting Time: Fri 19h30","0761054922 / 0722643254.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Port Elizabeth","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","North End","Port Elizabeth","Eastern Cape","1081 Pretorius St. North End, Port Elizabeth, Eastern Cape.","N/A","Terrence / Wayne *Group Meeting Time: Sat 17h00","0828594436 / 0604901913.","Not specified"
"Narcotics Ananymous Eastern Cape Group: Uitenhage","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","Allanridge West","Uitenhage","Eastern Cape"," Allanridge West, Uitenhage, Eastern Cape.","N/A","Gert *Group Meeting Time: Mon 19h30 / Fri 18h30","074 2576155.","Not specified"
"Narcotics Ananymous Free State 6 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Free State"," Free State.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Garden Route 5 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Western Cape"," Western Cape.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Johannesburg 89 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Gauteng"," Gauteng.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Kwazulu Natal 54 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Kwazulu Natal","667 Monise Section. Kwazulu Natal.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Limpopo 4 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Limpopo"," Limpopo.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Mpumalanga 9 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Mpumalanga","Room 10 Nthabiseng Centre, Chris Hani Hospital. Mpumalanga.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous North West 4 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","North West","1620 Ditshego Street, Vosloorus Rehabilitation Centre. North West.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Northern Cape 1 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Northern Cape"," Northern Cape.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Pretoria 18 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Gauteng"," Gauteng.","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Sub-Saharan Africa 36 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Not specified","Not specified","Not specified"
"Narcotics Ananymous Western Cape 69 Groups","Group meetings for support of recovering drug addicts","Drugs and alcohol","N/A","N/A","N/A","N/A","Western Cape","667 Monise Section. Western Cape.","N/A","Not specified","Not specified","Not specified"
"Narcotics Anonymous SA","Support for recovering drug addicts, national 24 hour help line","Drugs and alcohol","N/A","N/A","N/A","N/A","N/A","N/A","083 900 MY NA (083 900 69 62)","Not specified","Not specified","Website:www.na.org.za"
"New World Foundation","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Lavender Hill","Cape Town","Western Cape","Room 10 Nthabiseng Centre, Chris Hani Hospital. Lavender Hill, Cape Town, Western Cape.","N/A","Not specified","0217011150.","Not specified"
"NICRO Saartjie Baartman Women's Centre Athlone","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Athlone","Cape Town","Western Cape","1620 Ditshego Street, Vosloorus Rehabilitation Centre. Athlone, Cape Town, Western Cape.","N/A","Not specified","0216335287.","Not specified"
"NICRO Women's Support Centre - Cape Town","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","N/A","Cape Town","Western Cape","28 Caledon Street. Cape Town, Western Cape.","N/A","Not specified","0214221690.","Not specified"
"NICRO Women's Support Centre - Khayelitsha","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Khayelitsha","Cape Town","Western Cape","69 Hilary Drive, Southern Hills, Lavender Hill. Khayelitsha, Cape Town, Western Cape.","N/A","Not specified","0213611393.","Not specified"
"NICRO Women's Support Centre - Mitchell's Plain","Counselling Services for rape","Violence/ abuse/ rape","N/A","N/A","Mitchells Plain","Cape Town","Western Cape","Diagonal St. Mitchells Plain, Cape Town, Western Cape.","N/A","Not specified","0213976060/1/2.","Not specified"
"NISAA Institute for Women's Development","Short term crisis shelter for abused women and children","Children / teenager","Gauteng Department of Social Development","N/A","N/A","Lenasia","Gauteng"," Lenasia, Gauteng.","N/A","Babs  / Romila Pillay ","0118545804/5/ 079 354 8789 / 083 298 8672.","Contact to: romila@nisaa.org.za"
"Nonceba Family Counselling Centre","Shelter for abused women and children","Children / teenager","Department of Social Development (Western Cape Government)","N/A","Eyethu","Khayelitsha","Western Cape"," Eyethu, Khayelitsha, Western Cape.","N/A","Pauline Perez (Manager)","023640135.","Contact to: admin@nonceba.org  Website: http://www.nonceba.org"
"Ntabe Themba White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","N/A","Chris Hani","Eastern Cape"," Chris Hani, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"OUT","Servicing the Lesbian, Gay, Bisexual and Transgender community","LGTB","N/A","N/A","Hatfield","Pretoria","Gauteng"," Hatfield, Pretoria, Gauteng.","N/A","Not specified","0124303272.","Website:http://www.out.org.za/"
